name,class,clade
ARNOLD1,other,other
ARNOLD2,other,other
ARNOLD3,other,other
ARNOLD4,other,other
ARNOLDY1,MuDR,DNA transposon
ARNOLDY2,MuDR,DNA transposon
AT10MU1,MuDR,DNA transposon
AT9MU1,MuDR,DNA transposon
AT9NMU1,MuDR,DNA transposon
AT9TSD1,MuDR,DNA transposon
ATCOPI1_I,Copia,LTR Retrotransposon
ATCOPI1_LTR,Copia,LTR Retrotransposon
ATCOPIA10_I,Copia,LTR Retrotransposon
ATCOPIA10_LTR,Copia,LTR Retrotransposon
ATCOPIA11I,Copia,LTR Retrotransposon
ATCOPIA11LTR,Copia,LTR Retrotransposon
ATCOPIA12I,Copia,LTR Retrotransposon
ATCOPIA12LTR,Copia,LTR Retrotransposon
ATCOPIA13I,Copia,LTR Retrotransposon
ATCOPIA13LTR,Copia,LTR Retrotransposon
ATCOPIA14I,Copia,LTR Retrotransposon
ATCOPIA14LTR,Copia,LTR Retrotransposon
ATCOPIA15I,Copia,LTR Retrotransposon
ATCOPIA15LTR,Copia,LTR Retrotransposon
ATCOPIA16I,Copia,LTR Retrotransposon
ATCOPIA16LTR,Copia,LTR Retrotransposon
ATCOPIA17I,Copia,LTR Retrotransposon
ATCOPIA17LTR,Copia,LTR Retrotransposon
ATCOPIA18ALTR,Copia,LTR Retrotransposon
ATCOPIA18A_I,Copia,LTR Retrotransposon
ATCOPIA18I,Copia,LTR Retrotransposon
ATCOPIA18LTR,Copia,LTR Retrotransposon
ATCOPIA19I,Copia,LTR Retrotransposon
ATCOPIA19LTR,Copia,LTR Retrotransposon
ATCOPIA1I,Copia,LTR Retrotransposon
ATCOPIA1LTR,Copia,LTR Retrotransposon
ATCOPIA20I,Copia,LTR Retrotransposon
ATCOPIA20LTR,Copia,LTR Retrotransposon
ATCOPIA21I,Copia,LTR Retrotransposon
ATCOPIA21LTR,Copia,LTR Retrotransposon
ATCOPIA22I,Copia,LTR Retrotransposon
ATCOPIA22LTR,Copia,LTR Retrotransposon
ATCOPIA23_I,Copia,LTR Retrotransposon
ATCOPIA23_LTR,Copia,LTR Retrotransposon
ATCOPIA24I,Copia,LTR Retrotransposon
ATCOPIA24LTR,Copia,LTR Retrotransposon
ATCOPIA25I,Copia,LTR Retrotransposon
ATCOPIA25LTR,Copia,LTR Retrotransposon
ATCOPIA26I,Copia,LTR Retrotransposon
ATCOPIA26LTR,Copia,LTR Retrotransposon
ATCOPIA27_I,Copia,LTR Retrotransposon
ATCOPIA27_LTR,Copia,LTR Retrotransposon
ATCOPIA28_I,Copia,LTR Retrotransposon
ATCOPIA28_LTR,Copia,LTR Retrotransposon
ATCOPIA29_I,Copia,LTR Retrotransposon
ATCOPIA29_LTR,Copia,LTR Retrotransposon
ATCOPIA2I,Copia,LTR Retrotransposon
ATCOPIA2LTR,Copia,LTR Retrotransposon
ATCOPIA30_I,Copia,LTR Retrotransposon
ATCOPIA30_LTR,Copia,LTR Retrotransposon
ATCOPIA31A_I,Copia,LTR Retrotransposon
ATCOPIA31A_LTR,Copia,LTR Retrotransposon
ATCOPIA31_I,Copia,LTR Retrotransposon
ATCOPIA31_LTR,Copia,LTR Retrotransposon
ATCOPIA32B_I,Copia,LTR Retrotransposon
ATCOPIA32B_LTR,Copia,LTR Retrotransposon
ATCOPIA32_I,Copia,LTR Retrotransposon
ATCOPIA32_LTR,Copia,LTR Retrotransposon
ATCOPIA33_I,Copia,LTR Retrotransposon
ATCOPIA33_LTR,Copia,LTR Retrotransposon
ATCOPIA34_I,Copia,LTR Retrotransposon
ATCOPIA34_LTR,Copia,LTR Retrotransposon
ATCOPIA35_I,Copia,LTR Retrotransposon
ATCOPIA35_LTR,Copia,LTR Retrotransposon
ATCOPIA36_I,Copia,LTR Retrotransposon
ATCOPIA36_LTR,Copia,LTR Retrotransposon
ATCOPIA37_I,Copia,LTR Retrotransposon
ATCOPIA37_LTR,Copia,LTR Retrotransposon
ATCOPIA38ALTR,Copia,LTR Retrotransposon
ATCOPIA38A_I,Copia,LTR Retrotransposon
ATCOPIA38B_I,Copia,LTR Retrotransposon
ATCOPIA38B_LTR,Copia,LTR Retrotransposon
ATCOPIA38_I,Copia,LTR Retrotransposon
ATCOPIA38_LTR,Copia,LTR Retrotransposon
ATCOPIA39_I,Copia,LTR Retrotransposon
ATCOPIA39_LTR,Copia,LTR Retrotransposon
ATCOPIA3I,Copia,LTR Retrotransposon
ATCOPIA3LTR,Copia,LTR Retrotransposon
ATCOPIA40_I,Copia,LTR Retrotransposon
ATCOPIA40_LTR,Copia,LTR Retrotransposon
ATCOPIA41I,Copia,LTR Retrotransposon
ATCOPIA41LTR,Copia,LTR Retrotransposon
ATCOPIA42I,Copia,LTR Retrotransposon
ATCOPIA42LTR,Copia,LTR Retrotransposon
ATCOPIA43I,Copia,LTR Retrotransposon
ATCOPIA43LTR,Copia,LTR Retrotransposon
ATCOPIA44LTR,Copia,LTR Retrotransposon
ATCOPIA44_I,Copia,LTR Retrotransposon
ATCOPIA45LTR,Copia,LTR Retrotransposon
ATCOPIA45_I,Copia,LTR Retrotransposon
ATCOPIA46LTR,Copia,LTR Retrotransposon
ATCOPIA46_I,Copia,LTR Retrotransposon
ATCOPIA47LTR,Copia,LTR Retrotransposon
ATCOPIA47_I,Copia,LTR Retrotransposon
ATCOPIA48LTR,Copia,LTR Retrotransposon
ATCOPIA48_I,Copia,LTR Retrotransposon
ATCOPIA49LTR,Copia,LTR Retrotransposon
ATCOPIA49_I,Copia,LTR Retrotransposon
ATCOPIA4I,Copia,LTR Retrotransposon
ATCOPIA4LTR,Copia,LTR Retrotransposon
ATCOPIA50LTR,Copia,LTR Retrotransposon
ATCOPIA50_I,Copia,LTR Retrotransposon
ATCOPIA51LTR,Copia,LTR Retrotransposon
ATCOPIA51_I,Copia,LTR Retrotransposon
ATCOPIA52LTR,Copia,LTR Retrotransposon
ATCOPIA52_I,Copia,LTR Retrotransposon
ATCOPIA53LTR,Copia,LTR Retrotransposon
ATCOPIA53_I,Copia,LTR Retrotransposon
ATCOPIA54LTR,Copia,LTR Retrotransposon
ATCOPIA54_I,Copia,LTR Retrotransposon
ATCOPIA55LTR,Copia,LTR Retrotransposon
ATCOPIA55_I,Copia,LTR Retrotransposon
ATCOPIA56LTR,Copia,LTR Retrotransposon
ATCOPIA56_I,Copia,LTR Retrotransposon
ATCOPIA57LTR,Copia,LTR Retrotransposon
ATCOPIA57_I,Copia,LTR Retrotransposon
ATCOPIA58LTR,Copia,LTR Retrotransposon
ATCOPIA58_I,Copia,LTR Retrotransposon
ATCOPIA59LTR,Copia,LTR Retrotransposon
ATCOPIA59_I,Copia,LTR Retrotransposon
