Transposable Element	Unknown
DNA transposon	DNA transposon
Mariner/Tc1	DNA transposon
hAT	DNA transposon
MuDR	DNA transposon
piggyBac	DNA transposon
Merlin	DNA transposon
Helitron	DNA transposon
LTR Retrotransposon	LTR Retrotransposon
Gypsy	LTR Retrotransposon
Endogenous Retrovirus	Endogenous Retrovirus
ERV1	Endogenous Retrovirus
ERV2	Endogenous Retrovirus
ERV3	Endogenous Retrovirus
Non-LTR Retrotransposon	Non-LTR Retrotransposon
SINE	Non-LTR Retrotransposon
SINE1/7SL	Non-LTR Retrotransposon
SINE2/tRNA	Non-LTR Retrotransposon
SINE3/5S	Non-LTR Retrotransposon
SINE4	Non-LTR Retrotransposon
R4	Non-LTR Retrotransposon
L1	Non-LTR Retrotransposon
CR1	Non-LTR Retrotransposon
Tx1	Non-LTR Retrotransposon
RTEX	Non-LTR Retrotransposon
L2	Non-LTR Retrotransposon
Vingi	Non-LTR Retrotransposon
Loa	Non-LTR Retrotransposon
BEL	LTR Retrotransposon
Jockey	Non-LTR Retrotransposon
Copia	LTR retrotransposon
R1	Non-LTR Retrotransposon
I	Non-LTR Retrotransposon
Transib	DNA transposon
P	DNA transposon
R2	Non-LTR Retrotransposon
