name,clade,class
ACCORD2_I,Gypsy,LTR Retrotransposon
ACCORD2_LTR,Gypsy,LTR Retrotransposon
ACCORD_I,Unknown,LTR Retrotransposon
ACCORD_LTR,Gypsy,LTR Retrotransposon
BAGGINS1,Loa,Non-LTR Retrotransposon
BARI_DM,Mariner/Tc1,DNA transposon
BATUMI_I,BEL,LTR Retrotransposon
BATUMI_LTR,BEL,LTR Retrotransposon
BEL_I,BEL,LTR Retrotransposon
BEL_LTR,BEL,LTR Retrotransposon
Bica_I,Gypsy,LTR Retrotransposon
Bica_LTR,Gypsy,LTR Retrotransposon
BLASTOPIA_I,Gypsy,LTR Retrotransposon
BLASTOPIA_LTR,Unknown,LTR Retrotransposon
BLOOD_I,Gypsy,LTR Retrotransposon
BLOOD_LTR,Gypsy,LTR Retrotransposon
BS,Jockey,Non-LTR Retrotransposon
BS2,Jockey,Non-LTR Retrotransposon
BS3_DM,Jockey,Non-LTR Retrotransposon
BS4_DM,Jockey,Non-LTR Retrotransposon
BURDOCK_I,Gypsy,LTR Retrotransposon
BURDOCK_LTR,Gypsy,LTR Retrotransposon
Chimpo_I,Gypsy,LTR Retrotransposon
Chimpo_LTR,Gypsy,LTR Retrotransposon
Chouto_I,Gypsy,LTR Retrotransposon
Chouto_LTR,Gypsy,LTR Retrotransposon
CIRCE,Unknown,LTR Retrotransposon
Copia1-I_DM,Copia,LTR retrotransposon
Copia1-LTR_DM,Copia,LTR retrotransposon
COPIA2I_DM,Copia,LTR retrotransposon
COPIA2LTR_DM,Copia,LTR retrotransposon
COPIA_DM_I,Copia,LTR retrotransposon
COPIA_DM_LTR,Copia,LTR retrotransposon
DIVER2_I,BEL,LTR Retrotransposon
DIVER2_LTR,BEL,LTR Retrotransposon
DIVER_I,BEL,LTR Retrotransposon
DIVER_LTR,BEL,LTR Retrotransposon
DM1731_I,Copia,LTR retrotransposon
DM1731_LTR,Copia,LTR retrotransposon
DM176,Gypsy,LTR Retrotransposon
DM297_I,Gypsy,LTR Retrotransposon
DM297_LTR,Gypsy,LTR Retrotransposon
DM412B_LTR,Gypsy,LTR Retrotransposon
DM412_I,Gypsy,LTR Retrotransposon
DM412_LTR,Gypsy,LTR Retrotransposon
DMCR1A,CR1,Non-LTR Retrotransposon
DMLTR5,Gypsy,LTR Retrotransposon
DMRT1A,R1,Non-LTR Retrotransposon
DMRT1B,R1,Non-LTR Retrotransposon
DMRT1C,R1,Non-LTR Retrotransposon
DMTOM1_LTR,Gypsy,LTR Retrotransposon
DNAREP1_DM,Helitron,DNA transposon
DOC,Jockey,Non-LTR Retrotransposon
DOC2_DM,Jockey,Non-LTR Retrotransposon
DOC3_DM,Jockey,Non-LTR Retrotransposon
DOC4_DM,Jockey,Non-LTR Retrotransposon
DOC5_DM,Jockey,Non-LTR Retrotransposon
DOC6_DM,Jockey,Non-LTR Retrotransposon
FB4_DM,Mariner/Tc1,DNA transposon
FROGGER_I,Copia,LTR retrotransposon
FROGGER_LTR,Copia,LTR retrotransposon
FW,Jockey,Non-LTR Retrotransposon
FW2_DM,Jockey,Non-LTR Retrotransposon
FW3_DM,Jockey,Non-LTR Retrotransposon
G2_DM,Jockey,Non-LTR Retrotransposon
G3_DM,Jockey,Non-LTR Retrotransposon
G4_DM,Jockey,Non-LTR Retrotransposon
G5A_DM,Jockey,Non-LTR Retrotransposon
G5_DM,Jockey,Non-LTR Retrotransposon
G6_DM,Jockey,Non-LTR Retrotransposon
G7_DM,Jockey,Non-LTR Retrotransposon
GTWIN_I,Gypsy,LTR Retrotransposon
GTWIN_LTR,Gypsy,LTR Retrotransposon
Gypsy1-I_DM,Gypsy,LTR Retrotransposon
Gypsy1-LTR_DM,Gypsy,LTR Retrotransposon
GYPSY10_I,Gypsy,LTR Retrotransposon
GYPSY10_LTR,Gypsy,LTR Retrotransposon
GYPSY11_I,Gypsy,LTR Retrotransposon
GYPSY11_LTR,Gypsy,LTR Retrotransposon
GYPSY12A_LTR,Gypsy,LTR Retrotransposon
GYPSY12_I,Gypsy,LTR Retrotransposon
GYPSY12_LTR,Gypsy,LTR Retrotransposon
Gypsy2-I_DM,Gypsy,LTR Retrotransposon
Gypsy2-LTR_DM,Gypsy,LTR Retrotransposon
GYPSY2_I,Gypsy,LTR Retrotransposon
