name,clade,class
Academ-1_DR,Academ,DNA transposon
Academ-N1_DRe,Academ,DNA transposon
ANGEL,Kolobok,DNA transposon
BEL-16_DR-I,BEL,LTR Retrotransposon
BEL-16_DR-LTR,BEL,LTR Retrotransposon
BEL-26_DR-I,BEL,LTR Retrotransposon
BEL-26_DR-LTR,BEL,LTR Retrotransposon
BEL-37-I_DR,BEL,LTR Retrotransposon
BEL-37-LTR_DR,BEL,LTR Retrotransposon
BEL-38-I_DR,BEL,LTR Retrotransposon
BEL-38-LTR_DR,BEL,LTR Retrotransposon
BEL-39_DRe-I,BEL,LTR Retrotransposon
BEL-39_DRe-LTR,BEL,LTR Retrotransposon
BEL-40_DRe-I,BEL,LTR Retrotransposon
BEL-40_DRe-LTR,BEL,LTR Retrotransposon
BEL-41_DRe-I,BEL,LTR Retrotransposon
BEL-41_DRe-LTR,BEL,LTR Retrotransposon
BEL-42_DRe-I,BEL,LTR Retrotransposon
BEL-42_DRe-LTR,BEL,LTR Retrotransposon
BEL-43_DRe-I,BEL,LTR Retrotransposon
BEL-43_DRe-LTR,BEL,LTR Retrotransposon
BEL-44_DRe-I,BEL,LTR Retrotransposon
BEL-44_DRe-LTR,BEL,LTR Retrotransposon
BEL-45_DRe-I,BEL,LTR Retrotransposon
BEL-45_DRe-LTR,BEL,LTR Retrotransposon
BEL-46_DRe-I,BEL,LTR Retrotransposon
BEL-46_DRe-LTR,BEL,LTR Retrotransposon
BEL-47_DRe-I,BEL,LTR Retrotransposon
BEL-47_DRe-LTR,BEL,LTR Retrotransposon
BEL-48_DRe-I,BEL,LTR Retrotransposon
BEL-48_DRe-LTR,BEL,LTR Retrotransposon
BEL-49_DRe-I,BEL,LTR Retrotransposon
BEL-49_DRe-LTR,BEL,LTR Retrotransposon
BEL-50_DRe-I,BEL,LTR Retrotransposon
BEL-50_DRe-LTR,BEL,LTR Retrotransposon
BEL-51_DRe-I,BEL,LTR Retrotransposon
BEL-51_DRe-LTR,BEL,LTR Retrotransposon
BEL-52_DRe-I,BEL,LTR Retrotransposon
BEL-52_DRe-LTR,BEL,LTR Retrotransposon
BEL-53_DRe-I,BEL,LTR Retrotransposon
BEL-53_DRe-LTR,BEL,LTR Retrotransposon
