name,clade,class
B1,SINE,Non-LTR Retrotransposon
B1F,SINE,Non-LTR Retrotransposon
B2,SINE,Non-LTR Retrotransposon
BC1_Cp,SINE,Non-LTR Retrotransposon
BGLII,ERV2,Endogenous Retrovirus
BGLII_C,ERV2,Endogenous Retrovirus
BGLII_Mus,ERV2,Endogenous Retrovirus
ERVB2_1A-I_MM,ERV2,Endogenous Retrovirus
ERVB4_1-I_MM,ERV2,Endogenous Retrovirus
ERVB4_1-LTR_MM,ERV2,Endogenous Retrovirus
ERVB4_1B-I_MM,ERV2,Endogenous Retrovirus
ERVB4_1B-LTR_MM,ERV2,Endogenous Retrovirus
ERVB4_2-I_MM,ERV2,Endogenous Retrovirus
ERVB4_2-LTR_MM,ERV2,Endogenous Retrovirus
ERVB4_2B-LTR_MM,ERV2,Endogenous Retrovirus
ERVB4_3-I_MM,ERV2,Endogenous Retrovirus
ERVB4_3-LTR_MM,ERV2,Endogenous Retrovirus
ERVB5_1-LTR_MM,ERV2,Endogenous Retrovirus
ERVB5_2-I_MM,ERV2,Endogenous Retrovirus
ERVB5_2-LTR_MM,ERV2,Endogenous Retrovirus
ERVB7_2-LTR_MM,ERV2,Endogenous Retrovirus
ERVB7_2B-LTR_MM,ERV2,Endogenous Retrovirus
ERVB7_3-LTR_MM,ERV2,Endogenous Retrovirus
ERVB7_4-LTR_MM,ERV2,Endogenous Retrovirus
ETNERV,ERV2,Endogenous Retrovirus
IAP1-MM_I,ERV2,Endogenous Retrovirus
IAP1-MM_LTR,ERV2,Endogenous Retrovirus
IAPA_MM,ERV2,Endogenous Retrovirus
IAPEY2_LTR,ERV2,Endogenous Retrovirus
IAPEY3C_LTR,ERV2,Endogenous Retrovirus
IAPEY3_I,ERV2,Endogenous Retrovirus
IAPEY3_LTR,ERV2,Endogenous Retrovirus
IAPEY4_I,ERV2,Endogenous Retrovirus
IAPEY4_LTR,ERV2,Endogenous Retrovirus
IAPEY5_I,ERV2,Endogenous Retrovirus
IAPEY5_LTR,ERV2,Endogenous Retrovirus
IAPEYI,ERV2,Endogenous Retrovirus
IAPEZI,ERV2,Endogenous Retrovirus
IAPLTR1a_I_MM,ERV2,Endogenous Retrovirus
IAPLTR1a_MM,ERV2,Endogenous Retrovirus
IAPLTR1_Mm,ERV2,Endogenous Retrovirus
IAPLTR3,ERV2,Endogenous Retrovirus
IAPLTR3_I,ERV2,Endogenous Retrovirus
IAPLTR4,ERV2,Endogenous Retrovirus
IAPLTR4_I,ERV2,Endogenous Retrovirus
L1B_MM,L1,Non-LTR Retrotransposon
L1Lx_I,L1,Non-LTR Retrotransposon
L1Lx_II,L1,Non-LTR Retrotransposon
L1Lx_III,L1,Non-LTR Retrotransposon
L1Lx_IV,L1,Non-LTR Retrotransposon
L1MdA_I,L1,Non-LTR Retrotransposon
L1MdA_II,L1,Non-LTR Retrotransposon
L1MdA_III,L1,Non-LTR Retrotransposon
L1MdA_IV,L1,Non-LTR Retrotransposon
L1MdA_V,L1,Non-LTR Retrotransposon
L1MdA_VI,L1,Non-LTR Retrotransposon
L1MdA_VII,L1,Non-LTR Retrotransposon
L1MdFanc_I,L1,Non-LTR Retrotransposon
L1MdFanc_II,L1,Non-LTR Retrotransposon
L1MdF_I,L1,Non-LTR Retrotransposon
L1MdF_II,L1,Non-LTR Retrotransposon
L1MdF_III,L1,Non-LTR Retrotransposon
L1MdF_IV,L1,Non-LTR Retrotransposon
L1MdF_V,L1,Non-LTR Retrotransposon
L1MdGf_I,L1,Non-LTR Retrotransposon
L1MdGf_II,L1,Non-LTR Retrotransposon
L1MdMus_I,L1,Non-LTR Retrotransposon
L1MdMus_II,L1,Non-LTR Retrotransposon
L1MdN_I,L1,Non-LTR Retrotransposon
L1MdTf_I,L1,Non-LTR Retrotransposon
L1MdTf_II,L1,Non-LTR Retrotransposon
L1MdTf_III,L1,Non-LTR Retrotransposon
L1MdV_I,L1,Non-LTR Retrotransposon
L1MdV_II,L1,Non-LTR Retrotransposon
L1MdV_III,L1,Non-LTR Retrotransposon
L1MM_F,L1,Non-LTR Retrotransposon
L1VL1_5,L1,Non-LTR Retrotransposon
L1VL2_5,L1,Non-LTR Retrotransposon
L1_MM,L1,Non-LTR Retrotransposon
LTRIS2,ERV1,Endogenous Retrovirus
LTRIS3,ERV1,Endogenous Retrovirus
LTRIS4,ERV1,Endogenous Retrovirus
LTRIS4A,ERV1,Endogenous Retrovirus
LTRIS4B,ERV1,Endogenous Retrovirus
LTRIS5,ERV1,Endogenous Retrovirus
LTRIS6,ERV1,Endogenous Retrovirus
LTRIS_Mus,ERV1,Endogenous Retrovirus
LX10,L1,Non-LTR Retrotransposon
LX2B,L1,Non-LTR Retrotransposon
LX4,L1,Non-LTR Retrotransposon
LX5,L1,Non-LTR Retrotransposon
LX5b,L1,Non-LTR Retrotransposon
LX5c,L1,Non-LTR Retrotransposon
LX6,L1,Non-LTR Retrotransposon
LX7,L1,Non-LTR Retrotransposon
LX8,L1,Non-LTR Retrotransposon
LX8B,L1,Non-LTR Retrotransposon
LX9,L1,Non-LTR Retrotransposon
MERV1_I,ERV1,Endogenous Retrovirus
MERV1_LTR,ERV1,Endogenous Retrovirus
MERVL,ERV3,Endogenous Retrovirus
MLTR18A_MM,ERV2,Endogenous Retrovirus
MLTR18B_MM,ERV2,Endogenous Retrovirus
MLTR18C_MM,ERV2,Endogenous Retrovirus
MLTR18D_MM,ERV2,Endogenous Retrovirus
MLTR18_MM,ERV2,Endogenous Retrovirus
MLTR25A,ERV2,Endogenous Retrovirus
MLTR25B,ERV2,Endogenous Retrovirus
MLTR25C,ERV2,Endogenous Retrovirus
MLTR31A_MM,ERV2,Endogenous Retrovirus
MLTR31B_MM,ERV2,Endogenous Retrovirus
MLTR31C_MM,ERV2,Endogenous Retrovirus
MLTR31D_MM,ERV2,Endogenous Retrovirus
MLTR31E_MM,ERV2,Endogenous Retrovirus
MLTR31FA_MM,ERV2,Endogenous Retrovirus
MLTR31F_MM,ERV2,Endogenous Retrovirus
MLTR32C_MM,ERV2,Endogenous Retrovirus
MMERVK10C,ERV2,Endogenous Retrovirus
MMERVK10D3_I,ERV2,Endogenous Retrovirus
MMERVK10D3_LTR,ERV2,Endogenous Retrovirus
MMERVK9C_I,ERV2,Endogenous Retrovirus
MMERVK9E_I,ERV2,Endogenous Retrovirus
MURVY_LTR,ERV1,Endogenous Retrovirus
MYSERV,ERV2,Endogenous Retrovirus
MYSERV16_I,ERV2,Endogenous Retrovirus
ORR1A0,ERV3,Endogenous Retrovirus
ORR1B1,ERV3,Endogenous Retrovirus
ORR1B2,ERV3,Endogenous Retrovirus
