Transposable Element,Unknown,Unknown
DNA transposon,DNA transposon,DNA transposon
Mariner/Tc1,Mariner/Tc1,DNA transposon
hAT,hAT,DNA transposon
MuDR,MuDR,DNA transposon
piggyBac,piggyBac,DNA transposon
Merlin,Merlin,DNA transposon
Helitron,Helitron,DNA transposon
LTR Retrotransposon,Unknown,LTR Retrotransposon
Gypsy,Gypsy,LTR Retrotransposon
Endogenous Retrovirus,Unknown,Endogenous Retrovirus
ERV1,ERV1,Endogenous Retrovirus
ERV2,ERV2,Endogenous Retrovirus
ERV3,ERV3,Endogenous Retrovirus
Non-LTR Retrotransposon,Unknown,Non-LTR Retrotransposon
SINE,SINE,Non-LTR Retrotransposon
SINE1/7SL,SINE,Non-LTR Retrotransposon
SINE2/tRNA,SINE,Non-LTR Retrotransposon
SINE3/5S,SINE,Non-LTR Retrotransposon
SINE4,SINE,Non-LTR Retrotransposon
R4,R4,Non-LTR Retrotransposon
L1,L1,Non-LTR Retrotransposon
CR1,CR1,Non-LTR Retrotransposon
Tx1,Tx1,Non-LTR Retrotransposon
RTEX,RTEX,Non-LTR Retrotransposon
L2,L2,Non-LTR Retrotransposon
Vingi,Vingi,Non-LTR Retrotransposon
Loa,Loa,Non-LTR Retrotransposon
BEL,BEL,LTR Retrotransposon
Jockey,Jockey,Non-LTR Retrotransposon
Copia,Copia,LTR retrotransposon
R1,R1,Non-LTR Retrotransposon
I,I,Non-LTR Retrotransposon
Transib,Transib,DNA transposon
P,P,DNA transposon
R2,R2,Non-LTR Retrotransposon
