"name","class","clade","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AluJr","Non-LTR Retrotransposon","SINE",294.065391819354,-9.94161851601293,4.68075942512221,-2.12393280941871,0.0336757624125375,0.08147361874001
"AluSc","Non-LTR Retrotransposon","SINE",2360.56150068435,0.631816575913635,4.56226615482145,0.138487443404836,0.88985519270685,0.967233905116141
"AluSc8","Non-LTR Retrotransposon","SINE",476.725085927402,-4.88174778123327,4.57631747134459,-1.06674150379671,0.28608857988873,0.376432341958856
"AluSg4","Non-LTR Retrotransposon","SINE",4557.92854350071,29.4637891365425,4.784782823634,6.1578111740012,7.37572221336305e-10,9.21965276670381e-09
"AluSg7","Non-LTR Retrotransposon","SINE",4148.89536003987,29.0278015626005,4.78478744907967,6.06668569325557,1.30576736848724e-09,1.39903646623633e-08
"AluSp","Non-LTR Retrotransposon","SINE",14276.7084106647,18.563251126219,4.41073330293071,4.20865417409951,2.5689621675605e-05,0.00010962315546965
"AluSq","Non-LTR Retrotransposon","SINE",436.31981952836,-8.28417976906708,4.04530387238445,-2.04785104664686,0.0405745967815886,0.0950967112068484
"AluSq10","Non-LTR Retrotransposon","SINE",242.493255627906,-24.045579390151,4.78484262117952,-5.02536473900232,5.02476618076896e-07,2.89890356582824e-06
"AluSq2","Non-LTR Retrotransposon","SINE",723.812787805046,8.32304814940658,4.57327757611945,1.81993067572971,0.0687695627115718,0.151697564804938
"AluSx","Non-LTR Retrotransposon","SINE",171.303273381301,-6.74142968810801,4.63010747898016,-1.4559985310736,0.145393025681331,0.222540345430609
"AluSx1","Non-LTR Retrotransposon","SINE",171.303273381301,-6.74142968810801,4.63010747898016,-1.4559985310736,0.145393025681331,0.222540345430609
"AluSx3","Non-LTR Retrotransposon","SINE",1067.93705537569,-6.07186302090518,4.57628722570478,-1.32680986167123,0.184571587445367,0.266209020353895
"AluSx4","Non-LTR Retrotransposon","SINE",55153.296771727,7.49789628028946,4.56216868752992,1.64349387184739,0.100280792232985,0.192847677371126
"AluSz","Non-LTR Retrotransposon","SINE",9320.48761555174,30,4.78475890102497,6.26990839466823,3.61260575538003e-10,5.41890863307004e-09
"AluSz6","Non-LTR Retrotransposon","SINE",1320.47875791017,-0.386352676238136,4.18116571630733,-0.0924031005829995,0.926377776060983,0.978568073303855
"AluY","Non-LTR Retrotransposon","SINE",1.96241257166751,5.64867392718582,4.83944087737951,1.16721622813677,0.243123058930607,NA
"AluYa1","Non-LTR Retrotransposon","SINE",30506.3556560651,30,4.78474300348081,6.26992922674751,3.61212246740233e-10,5.41890863307004e-09
"AluYa4","Non-LTR Retrotransposon","SINE",251.663851738422,-10.0730787144001,4.2799890614458,-2.35352907911342,0.0185961532971169,0.0664148332039888
"AluYa5","Non-LTR Retrotransposon","SINE",251.663851738422,-10.0730787144001,4.2799890614458,-2.35352907911342,0.0185961532971169,0.0664148332039888
"AluYb8","Non-LTR Retrotransposon","SINE",281.730324143441,-23.726857034556,4.78482909776601,-4.95876792039111,7.09416531972365e-07,3.54708265986183e-06
"AluYb8a1","Non-LTR Retrotransposon","SINE",425.952185280033,-10.4801877736413,4.72569615396461,-2.21770241509264,0.0265751294812622,0.0711833825390952
"AluYbc3a","Non-LTR Retrotransposon","SINE",0.683620919433163,4.74644684295196,4.91112197340089,0.966468939003993,0.333809582234032,NA
"AluYc1","Non-LTR Retrotransposon","SINE",1.96241257166751,5.64867392718582,4.83944087737951,1.16721622813677,0.243123058930607,NA
"AluYc5","Non-LTR Retrotransposon","SINE",23175.8371002862,7.24786494944731,4.562255582595,1.58865824551739,0.112137570540463,0.200245661679398
"AluYd2","Non-LTR Retrotransposon","SINE",23024.3525665089,30,4.78474527629662,6.26992624845014,3.61219155770932e-10,5.41890863307004e-09
"AluYd3","Non-LTR Retrotransposon","SINE",46.030475241833,10.2915760106374,4.62160675489375,2.22683939946639,0.0259580091523293,0.0711833825390952
"AluYd8","Non-LTR Retrotransposon","SINE",23175.8371002862,7.24786494944731,4.562255582595,1.58865824551739,0.112137570540463,0.200245661679398
"AluYe2","Non-LTR Retrotransposon","SINE",1528.12879896554,27.9294263030236,4.78487565763594,5.83702238081202,5.31419598735091e-09,4.98205873814148e-08
"AluYg6","Non-LTR Retrotransposon","SINE",5648.97723975472,4.42112308773954,4.56222263871036,0.969072190871706,0.332509171611409,0.429968756394063
"AluYh9","Non-LTR Retrotransposon","SINE",575.866925376343,26.5690883946141,4.78510663857983,5.55245481477911,2.81685542529211e-08,2.34737952107676e-07
"AluYk11","Non-LTR Retrotransposon","SINE",30506.3556560651,30,4.78474300348081,6.26992922674751,3.61212246740233e-10,5.41890863307004e-09
"FAM","Non-LTR Retrotransposon","SINE",47181.9590397489,-0.170699904755477,2.38015555871687,-0.0717179615131965,0.942826361749655,0.982110793489224
"FLAM","Non-LTR Retrotransposon","SINE",1842231.48659827,3.6965038429243,4.56208392336524,0.810266515263391,0.417787015882939,0.531085189681702
"FRAM","Non-LTR Retrotransposon","SINE",29502.8512379386,-30,4.78474675168623,-6.26992431510141,3.61223640807072e-10,5.41890863307004e-09
"HARLEQUIN","LTR Retrotransposon","ERV1",27.2679654373906,0.400025424671604,3.75445861234382,0.106546766385015,0.915148552339987,0.978568073303855
"HERV9","LTR Retrotransposon","ERV1",9.14512277915461,-5.28845359857201,4.78455891557953,-1.10531685195718,0.269022318313613,0.360297747741446
"HERVE","LTR Retrotransposon","ERV1",3.46891514517516,-3.89452126407429,4.78873034196577,-0.813268024291297,0.41606440578274,NA
"HERVE_a","LTR Retrotransposon","ERV1",6.63758911390254,-4.82565775704232,4.78552899135686,-1.0083854398872,0.313269460051206,NA
"HERVIP10FH","LTR Retrotransposon","ERV1",10.4072335911387,8.12059664096712,4.8052671724106,1.68993655287087,0.0910400935920797,0.183443267122701
"HERVK9I","LTR Retrotransposon","ERV2",23.9267321801607,9.35217550907916,4.63500976676526,2.0177250922183,0.0436199000482897,0.0991361364733857
"HERVL","LTR Retrotransposon","ERV3",9.14512277915461,-5.28845359857201,4.78455891557953,-1.10531685195718,0.269022318313613,0.360297747741446
"L1","Non-LTR Retrotransposon","L1",116.969253178506,0.0551683740871226,3.27629454519511,0.0168386490671391,0.986565336765184,0.986565336765184
"L1HS","Non-LTR Retrotransposon","L1",174.656373175382,-0.0654795283396968,3.32131317783009,-0.0197149515368727,0.984270763496495,0.986565336765184
"L1MA1","Non-LTR Retrotransposon","L1",20.5027752629434,-6.45384151938343,4.78313597062162,-1.34929083325739,0.177243568824551,0.260652307094928
"L1MA2","Non-LTR Retrotransposon","L1",8.99762079884567,-5.26497513748698,4.78460101404428,-1.10040003796192,0.271157861959248,NA
"L1MA3","Non-LTR Retrotransposon","L1",30.9940288995357,-7.05244149783491,4.19771839128253,-1.68006541660365,0.0929445886755019,0.183443267122701
"L1MA5A","Non-LTR Retrotransposon","L1",30.5329099239517,-7.02860133481007,4.75512434131934,-1.47811094522503,0.139378084947638,0.222411837682401
"L1MC1","Non-LTR Retrotransposon","L1",57.239784751263,10.5970657817603,4.75569094172883,2.22829151675444,0.0258610816762672,0.0711833825390952
"L1ME1","Non-LTR Retrotransposon","L1",36.5936538843968,-7.2906055594155,4.71676255262431,-1.5456800036201,0.122181868882148,0.208030621308215
"L1MEC_5","Non-LTR Retrotransposon","L1",10.767644562553,-5.52425996914893,4.7841719256994,-1.15469511860014,0.248215299196336,0.344743471106022
"L1PA10","Non-LTR Retrotransposon","L1",36.6731379206827,-7.2948500990147,4.28558531913203,-1.70218291220303,0.0887210850048065,0.183443267122701
"L1PA11","Non-LTR Retrotransposon","L1",416.848017535225,10.5028780901695,4.56244466428425,2.30202859716593,0.021333559523137,0.0711833825390952
"L1PA13","Non-LTR Retrotransposon","L1",176.712170972672,2.1352278361271,4.56438875842282,0.467801484303214,0.639926559067991,0.77834190151673
"L1PA13_5","Non-LTR Retrotransposon","L1",12.5833196442628,-5.75103275042101,4.78385480362654,-1.2021754393677,0.229295562963282,0.324474853249927
"L1PA14","Non-LTR Retrotransposon","L1",0.442505940926836,-0.895308604863603,4.83528665750886,-0.185161432667751,0.8531024182483,NA
"L1PA15","Non-LTR Retrotransposon","L1",36.7279930969274,-7.29517359284064,4.75299149964579,-1.53485938137788,0.124818372784929,0.208030621308215
"L1PA16","Non-LTR Retrotransposon","L1",247.591481581655,2.52952470127722,4.56381463602477,0.554256669696935,0.579403199916193,0.724253999895241
"L1PA16_5","Non-LTR Retrotransposon","L1",6.73377645828119,-4.84983302316383,4.78547026609403,-1.01344962009812,0.310845448543803,NA
"L1PA2","Non-LTR Retrotransposon","L1",37.3180010181632,-7.31817015526951,4.75251272908459,-1.5398528257449,0.123596231960699,0.208030621308215
"L1PA3","Non-LTR Retrotransposon","L1",144.114233324395,10.0065987197021,4.57240691811217,2.18847510707414,0.0286350125789148,0.0740560670144347
"L1PA4","Non-LTR Retrotransposon","L1",41.7653110390531,0.978180487687147,4.35702261124103,0.224506635600986,0.822363104228628,0.91714004698377
"L1PA5","Non-LTR Retrotransposon","L1",130.197708621284,-0.83819013929066,3.9402246889748,-0.212726482739934,0.831540309265285,0.91714004698377
"L1PA6","Non-LTR Retrotransposon","L1",62.4434015468324,10.7229432835207,4.77376320626852,2.24622437691091,0.0246896395837518,0.0711833825390952
"L1PA7","Non-LTR Retrotransposon","L1",49.3122715608494,-1.63336314213275,4.3844473086826,-0.372535698832135,0.709494037766275,0.844635759245565
"L1PA7_5","Non-LTR Retrotransposon","L1",92.9724450429102,24.026942968293,4.77488335058326,5.0319434432588,4.85532515839063e-07,2.89890356582824e-06
"L1PA8","Non-LTR Retrotransposon","L1",110.869248757559,-22.9405596349486,4.78495734592325,-4.79430807350744,1.63237257432471e-06,7.65174644214709e-06
"L1PB1","Non-LTR Retrotransposon","L1",72.8506351379712,10.9458494029957,4.78766593654636,2.28626005825536,0.0222390490768835,0.0711833825390952
"L1PB2c","Non-LTR Retrotransposon","L1",45.9315408280405,10.2830785578585,4.04923920491353,2.53950879102932,0.0111008255480004,0.0438190482157911
"L1PBA_5","Non-LTR Retrotransposon","L1",26.3237579296062,0.934466546621072,4.31417519733523,0.216603754803067,0.828517159298764,0.91714004698377
"L1PREC1","Non-LTR Retrotransposon","L1",48.5025089297212,0.802176525775342,3.17872843310054,0.252357677812979,0.800764609874728,0.91714004698377
"L1PREC2","Non-LTR Retrotransposon","L1",28.4695189638173,1.00547560200048,3.75393923180873,0.267845465765844,0.788818272274159,0.91714004698377
"L1P_MA2","Non-LTR Retrotransposon","L1",17.2688570019574,2.01852245048365,4.36051293229309,0.462909405802898,0.64342930525383,0.77834190151673
"LTR12C","LTR Retrotransposon","ERV1",201.751150955388,0.188323907774505,4.0367637840835,0.0466521990999435,0.962790428423569,0.986565336765184
"LTR13","LTR Retrotransposon","ERV2",32.3765413549682,-7.11401025391558,4.71683979727937,-1.50821536445204,0.131499416201386,0.214401222067476
"LTR1B","LTR Retrotransposon","ERV1",81.5233297972534,23.8383739130717,4.78735446479819,4.97944618230323,6.37664812476072e-07,3.41606149540753e-06
"LTR30","LTR Retrotransposon","ERV1",49.8556693444235,-7.73605560712699,4.78219493382504,-1.61767885127579,0.105731826037718,0.198247173820721
"LTR5B","LTR Retrotransposon","ERV2",62.4434015468324,10.7229432835207,4.77376320626852,2.24622437691091,0.0246896395837518,0.0711833825390952
"LTR7B","LTR Retrotransposon","ERV3",204.675593959062,25.1253295088332,4.78577884728977,5.24999802760671,1.52100838931899e-07,1.03705117453568e-06
"LTR8A","LTR Retrotransposon","ERV1",288.032280721173,25.604025494776,4.78547626180361,5.35036098687616,8.77789587847204e-08,6.58342190885403e-07
"MER41A","LTR Retrotransposon","ERV1",73.867487209024,-8.30359762115301,4.78230652812441,-1.73631647664576,0.0825078914467056,0.176802624528655
"PB1D11","Non-LTR Retrotransposon","SINE",21453.1177565938,-16.4874891858826,3.92254599966723,-4.20326216372768,2.63095573127161e-05,0.00010962315546965
"SVA_C","Non-LTR Retrotransposon","SINE",21.8302930857239,-6.54438427470004,4.78306628115264,-1.36824034834887,0.171236855775424,0.256855283663137
"SVA_D","Non-LTR Retrotransposon","SINE",43.3634732964114,10.1952061764798,4.71490921139289,2.16233350831965,0.0305924786864527,0.0764811967161317
